,CrashId,Fatal Case Status,lat,lon,DOT Case Number,Date Of Crash,Time of Crash,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Weather Condition,Weather Condition Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Average Daily Traffic,Trafficway Class Text Format,full_date
3451,375686,1,41.37886227,-72.90353325,2618513,1/3/18,11:57:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.21,15,15-N,15-N-124,707-N,,,,,1,Clear,1,Daylight,1,Dry,9300,"Trafficway, On Road",1/3/18 11:57
6134,381591,1,41.351657,-72.935759,2624414,1/3/18,13:16:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,Local,1.01,99,CIRCULAR AV,CIRCULAR AV,,LEXINGTON ST,50,Feet,N,1,Clear,1,Daylight,1,Dry,7100,"Trafficway, On Road",1/3/18 13:16
764,379408,1,41.34709,-72.93359,2622233,1/3/18,14:07:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.61,10,CT-10,10-N,,CIRCULAR  AVE,50,Feet,N,1,Clear,1,Daylight,1,Dry,25300,"Trafficway, On Road",1/3/18 14:07
6133,378553,1,41.351757,-72.935691,2621379,1/4/18,9:50:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1,99,CIRCULAR AV,CIRCULAR AV,,LEXINGTON ST,85,Feet,N,99,Unknown,99,Unknown,99,Unknown,7100,"Trafficway, On Road",1/4/18 9:50
3589,377197,1,41.35171,-72.96276,2620023,1/4/18,15:19:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,47.84,15,15-S,15-S,,Exit 59,7,TenthsofMile,N,8,Blowing Snow,1,Daylight,3,Snow,79900,"Trafficway, On Road",1/4/18 15:19
6148,428511,1,41.352227,-72.935858,2946990,1/4/18,22:48:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,0.96,99,CIRCULAR AV,CIRCULAR AV,PEARL AV,,,,,1,Clear,4,Dark-Lighted,1,Dry,7100,"Trafficway, On Road",1/4/18 22:48
4602,378554,1,41.401268,-72.897737,2621380,1/5/18,9:29:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,3.08,40,40-N,40-N,10-N,,,,,1,Clear,1,Daylight,1,Dry,18700,"Trafficway, On Road",1/5/18 9:29
9266,377090,1,41.345294,-72.936099,2619916,1/5/18,14:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.61,598,WOODIN ST,WOODIN ST,,NOTKINS ST,110,Feet,W,1,Clear,1,Daylight,3,Snow,5400,"Trafficway, On Road",1/5/18 14:32
6655,377091,1,41.34663,-72.940354,2619917,1/5/18,14:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.58,176,FAIRVIEW AV,FAIRVIEW AV,,Woodin St,405,Feet,N,7,Snow,1,Daylight,3,Snow,4800,"Trafficway, On Road",1/5/18 14:42
7756,377526,1,41.405652,-72.917196,2620352,1/5/18,15:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.08,737,NUTMEG HILL RD,NUTMEG HILL RD,TIMBERWOOD TR,,,,,1,Clear,1,Daylight,3,Snow,,"Trafficway, On Road",1/5/18 15:42
9267,377092,1,41.345506,-72.940774,2619918,1/5/18,16:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.36,598,WOODIN ST,WOODIN ST,FAIRVIEW AV,,,,,1,Clear,1,Daylight,3,Snow,5400,"Trafficway, Not on Road",1/5/18 16:46
4893,377093,1,41.378963,-72.903459,2619919,1/5/18,17:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,3.31,707,WHITNEY AV,707-N,,Millbrook Rd,300,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,16900,"Trafficway, On Road",1/5/18 17:11
5598,376722,1,41.375667,-72.915851,2619548,1/5/18,18:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.1,753,CT-10,753-S,,SKIFF ST,342,Feet,N,2,Cloudy,4,Dark-Lighted,1,Dry,13900,"Trafficway, On Road",1/5/18 18:02
624,376723,1,41.414669,-72.902449,2619549,1/5/18,18:20:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,11.04,10,CT-10,10-N,,Sherman Ave,150,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,25800,"Trafficway, On Road",1/5/18 18:20
3310,375982,1,41.365732,-72.923912,2618809,1/6/18,0:35:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.1,15,15-N,15-N,,15-N-220,1,TenthsofMile,N,1,Clear,5,Dark-Not Lighted,1,Dry,66000,"Trafficway, On Road",1/6/18 0:35
5825,377094,1,41.36323964,-72.92507173,2619920,1/6/18,0:38:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.07,42,BENHAM ST,BENHAM ST,,Dixwell Ave.,1,TenthsofMile,W,8,Blowing Snow,4,Dark-Lighted,5,Ice / Frost,12600,"Trafficway, Not on Road",1/6/18 0:38
4821,381155,1,41.341405,-72.895607,2623980,1/7/18,15:45:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,USRoute,2.03,5,US-5,5-N,,hubbard pl,10,Feet,N,1,Clear,1,Daylight,1,Dry,9300,"Trafficway, On Road",1/7/18 15:45
8671,378613,1,41.371191,-72.906775,2621439,1/7/18,16:13:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,494,SKIFF ST,SKIFF ST,,Whitney Ave,106,Feet,W,1,Clear,1,Daylight,1,Dry,24000,"Trafficway, On Road",1/7/18 16:13
8047,377095,1,41.343747,-72.926138,2619921,1/7/18,16:41:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.74,439,PUTNAM AV,PUTNAM AV,LEEDER HILL DR,,,,,1,Clear,1,Daylight,1,Dry,10000,"Trafficway, On Road",1/7/18 16:41
6585,378614,1,41.342058,-72.911496,2621440,1/8/18,0:10:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,167,ELI RD,ELI RD,DAVIS ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,3500,"Trafficway, On Road",1/8/18 0:10
3019,375991,1,41.364499,-72.92814,2618818,1/8/18,0:56:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,49.86,15,15-N,15-N,,Exit 60,1,TenthsofMile,S,1,Clear,5,Dark-Not Lighted,1,Dry,79900,"Trafficway, On Road",1/8/18 0:56
7296,377096,1,41.345553,-72.926718,2619922,1/8/18,4:00:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.13,317,LEEDER HILL DR,LEEDER HILL DR,,PUTNAM AV,672,Feet,N,1,Clear,4,Dark-Lighted,2,Wet,3600,"Trafficway, Not on Road",1/8/18 4:00
7323,377097,1,41.351521,-72.935139,2619923,1/8/18,9:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.03,321,LEXINGTON ST,LEXINGTON ST,,Circular Ave,125,Feet,E,1,Clear,1,Daylight,3,Snow,,"Trafficway, On Road",1/8/18 9:38
5599,378555,1,41.376631,-72.915448,2621381,1/8/18,9:55:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.03,753,CT-10,753-S,SHEPARD AV,,,,,2,Cloudy,1,Daylight,1,Dry,13900,"Trafficway, On Road",1/8/18 9:55
4725,381525,1,41.330564,-72.89954,2624349,1/8/18,10:23:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.21,5,US-5,5-N,,BENTON ST,107,Feet,S,1,Clear,1,Daylight,1,Dry,14100,"Trafficway, On Road",1/8/18 10:23
6656,377527,1,41.33837,-72.941078,2620353,1/8/18,11:34:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,176,FAIRVIEW AV,FAIRVIEW AV,ARCH ST,,,,,1,Clear,1,Daylight,2,Wet,4800,"Trafficway, On Road",1/8/18 11:34
7298,383194,1,41.35245,-72.92291,2626017,1/8/18,15:10:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.88,317,LEEDER HILL DR,LEEDER HILL DR,,Treadwell St,100,Feet,S,1,Clear,1,Daylight,4,Slush,3600,"Trafficway, Not on Road",1/8/18 15:10
1330,391353,1,41.354015,-72.929695,2634175,1/8/18,15:14:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.13,10,CT-10,10-N,TREADWELL ST,,,,,1,Clear,1,Daylight,1,Dry,23400,"Trafficway, On Road",1/8/18 15:14
3493,376391,1,41.380647,-72.900755,2619218,1/8/18,17:55:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.22,15,15-N,15-N-125,,15-N,29,Feet,S,7,Snow,5,Dark-Not Lighted,2,Wet,2300,"Trafficway, On Road",1/8/18 17:55
4307,376393,1,41.378128,-72.905305,2619220,1/8/18,18:50:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,0.18,15,15-S,15-S-122,,15-S,38,Feet,N,2,Cloudy,5,Dark-Not Lighted,2,Wet,9300,"Trafficway, On Road",1/8/18 18:50
2329,378615,1,41.455332,-72.908394,2621441,1/9/18,5:05:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,13.91,10,CT-10,10-N,,Old Lane Rd,50,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,15400,"Trafficway, On Road",1/9/18 5:05
3020,376873,1,41.36487,-72.927691,2619699,1/9/18,6:50:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,49.89,15,15-N,15-N,,15-N-220,1,TenthsofMile,S,1,Clear,5,Dark-Not Lighted,2,Wet,79900,"Trafficway, On Road",1/9/18 6:50
7135,378616,1,41.349804,-72.944223,2621442,1/9/18,8:15:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.57,251,HELEN ST,HELEN ST,PINE ROCK AV NO 1,,,,,1,Clear,1,Daylight,2,Wet,3000,"Trafficway, On Road",1/9/18 8:15
4724,378617,1,41.332994,-72.900681,2621443,1/9/18,8:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.38,5,US-5,5-N,,COOK ST,75,Feet,N,1,Clear,99,Unknown,1,Dry,14100,"Trafficway, On Road",1/9/18 8:36
3780,378226,1,41.37890676,-72.9038597,2621052,1/9/18,8:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.59,15,15-S,15-S,,Exit 61,20,Feet,N,1,Clear,1,Daylight,1,Dry,71800,"Trafficway, On Road",1/9/18 8:38
4894,378618,1,41.379017,-72.903501,2621444,1/9/18,12:45:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,3.31,707,WHITNEY AV,707-N,,RT. 15 SB EXIT RAMP,108,Feet,S,1,Clear,1,Daylight,1,Dry,16900,"Trafficway, On Road",1/9/18 12:45
3021,376875,1,41.358127,-72.941485,2619701,1/9/18,15:18:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,49.04,15,15-N,15-N,,15-N-220,5060,Feet,S,1,Clear,1,Daylight,1,Dry,79900,"Trafficway, On Road",1/9/18 15:18
5513,381156,1,41.383446,-72.901857,2623981,1/9/18,16:49:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0,717,DIXWELL AV,717-E,Whitney Ave,,,,,1,Clear,1,Daylight,1,Dry,15400,"Trafficway, On Road",1/9/18 16:49
1184,381742,1,41.370432,-72.918505,2624565,1/9/18,18:48:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,7.4,10,CT-10,10-N,,Skiff St.,1,TenthsofMile,S,97,Other,4,Dark-Lighted,2,Wet,23700,"Trafficway, On Road",1/9/18 18:48
7441,389188,1,41.376342,-72.920314,2632010,1/9/18,20:17:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.95,366,MIX AV,MIX AV,SKIFF ST EXT,,,,,1,Clear,4,Dark-Lighted,1,Dry,4000,"Trafficway, On Road",1/9/18 20:17
8855,378556,1,41.403631,-72.898628,2621382,1/10/18,0:32:00,O,Property Damage Only,,,1,Local,,,TABOR RD,Tabor Rd,,Dickerman St.,20,Feet,W,1,Clear,4,Dark-Lighted,5,Ice / Frost,,"Trafficway, On Road",1/10/18 0:32
5680,378557,1,41.398812,-72.9043,2621383,1/10/18,6:59:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.04,626,ANNS FARM RD,ANNS FARM RD,,Evergreen Ave.,60,Feet,N,1,Clear,1,Daylight,5,Ice / Frost,,"Trafficway, On Road",1/10/18 6:59
8967,380453,1,41.356001,-72.911778,2623278,1/10/18,9:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.66,548,WAITE ST,WAITE ST,707-N,,,,,1,Clear,1,Daylight,1,Dry,2600,"Trafficway, On Road",1/10/18 9:30
1070,378619,1,41.339849,-72.935103,2621445,1/10/18,14:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.11,10,CT-10,10-N,,Pine Street,75,Feet,N,1,Clear,1,Daylight,1,Dry,24100,"Trafficway, On Road",1/10/18 14:46
1182,378620,1,41.369985,-72.91875,2621446,1/10/18,17:50:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,7.36,10,CT-10,10-N,,connolly parkway,500,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,23700,"Trafficway, On Road",1/10/18 17:50
2175,379409,1,41.388117,-72.900158,2622234,1/11/18,14:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9.15,10,CT-10,10-N,,Lincoln Street,75,Feet,S,1,Clear,1,Daylight,1,Dry,16900,"Trafficway, On Road",1/11/18 14:02
8678,399006,1,41.371,-72.9074,2917504,1/11/18,14:37:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.05,494,SKIFF ST,SKIFF ST,,Whitney Avenue,220,Feet,W,1,Clear,1,Daylight,1,Dry,24000,"Trafficway, On Road",1/11/18 14:37
6399,378621,1,41.336591,-72.935114,2621447,1/11/18,17:51:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.08,142,DIXWELL AV,DIXWELL AV NO 1,,EASTON ST,142,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,15600,"Trafficway, On Road",1/11/18 17:51
4002,378449,1,41.380562,-72.900784,2621275,1/11/18,18:35:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,51.8,15,15-S,15-S,,RT 15,40,Feet,S,4,Rain,5,Dark-Not Lighted,2,Wet,67000,"Trafficway, On Road",1/11/18 18:35
6528,383397,1,41.3609979,-72.92378333,2626220,1/11/18,20:40:00,O,Property Damage Only,O,No Apparent Injury (O),2,,,,DIXWELL AV,1873 DIXWELL AVE,,LEE STREET,1,TenthsofMile,N,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",1/11/18 20:40
1071,380454,1,41.34240767,-72.93479415,2623279,1/12/18,11:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.29,10,CT-10,10-N,HAMDEN PARK DR,,,,,4,Rain,1,Daylight,2,Wet,24100,"Trafficway, On Road",1/12/18 11:38
8279,378622,1,41.38455,-72.902186,2621448,1/12/18,11:54:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.24,480,SCHOOL ST,SCHOOL ST,,WHITNEY AVENUE,80,Feet,W,4,Rain,1,Daylight,2,Wet,5300,"Trafficway, On Road",1/12/18 11:54
6325,381313,1,41.352379,-72.93526,2624137,1/12/18,12:44:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,126,DANTE PL,DANTE PL,BEACON ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/12/18 12:44
4726,383195,1,41.334607,-72.900509,2626018,1/12/18,14:21:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.5,5,US-5,5-N,MERRITT ST,,,,,6,Freezing Rain or Freezing Drizzle,1,Daylight,2,Wet,14100,"Trafficway, On Road",1/12/18 14:21
3022,378452,1,41.361996,-72.932319,2621278,1/12/18,17:00:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,49.58,15,15-N,15-N,,Exit 60 ,4,TenthsofMile,S,2,Cloudy,3,Dusk,2,Wet,79900,"Trafficway, On Road",1/12/18 17:00
4801,378683,1,41.335634,-72.899992,2621509,1/12/18,18:05:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.57,5,US-5,5-N,RIDGE RD,,,,,4,Rain,4,Dark-Lighted,2,Wet,9900,"Trafficway, On Road",1/12/18 18:05
1326,381157,1,41.353507,-72.930147,2623982,1/12/18,20:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.09,10,CT-10,10-N,,TREADWELL STREET,200,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,23400,"Trafficway, On Road",1/12/18 20:19
556,378623,1,41.346438,-72.933884,2621449,1/12/18,20:38:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,5.56,10,CT-10,10-N,PUTNAM AV,,,,,3,"Fog, Smog, Smoke",4,Dark-Lighted,2,Wet,26700,"Trafficway, On Road",1/12/18 20:38
1072,381934,1,41.33934,-72.935243,2624757,1/13/18,11:32:00,O,Property Damage Only,O,No Apparent Injury (O),3,State,5.07,10,CT-10,10-N,,ARCH STREET,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,24100,"Trafficway, On Road",1/13/18 11:32
7136,378684,1,41.346719,-72.935048,2621510,1/13/18,12:00:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.05,251,HELEN ST,HELEN ST,NOTKINS ST,,,,,1,Clear,1,Daylight,1,Dry,3000,"Trafficway, On Road",1/13/18 12:00
3850,470070,1,41.373501,-72.910769,2988535,1/13/18,14:18:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,51.04,15,15-S,15-S,,61-entrance,5,Feet,S,1,Clear,1,Daylight,1,Dry,71800,"Trafficway, On Road",1/13/18 14:18
5451,391769,1,41.383113,-72.898777,2634591,1/13/18,18:51:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.16,717,DIXWELL AV,717-E,,WASHINGTON AVE,50,Feet,E,1,Clear,4,Dark-Lighted,1,Dry,18600,"Trafficway, On Road",1/13/18 18:51
1325,378685,1,41.352557,-72.930601,2621511,1/13/18,21:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.02,10,CT-10,10-N,,Church Street,10,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,23400,"Trafficway, Not on Road",1/13/18 21:01
7628,381100,1,41.42958,-72.858197,2623925,1/13/18,22:03:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,1.08,375,MOUNT CARMEL AV,MOUNT CARMEL AV,,Hartford Turnpike,2,TenthsofMile,W,1,Clear,5,Dark-Not Lighted,1,Dry,,"Trafficway, On Road",1/13/18 22:03
1327,381158,1,41.351382,-72.931271,2623983,1/14/18,19:34:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.94,10,CT-10,10-N,,Beacon St,10,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,23400,"Trafficway, On Road",1/14/18 19:34
7821,383196,1,41.329711,-72.900317,2626019,1/14/18,22:44:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.09,414,PARK RD,PARK RD,,State Street,2,TenthsofMile,W,1,Clear,4,Dark-Lighted,1,Dry,2800,"Trafficway, Not on Road",1/14/18 22:44
472,378687,1,41.355156,-72.928756,2621513,1/15/18,15:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.22,10,CT-10,10-N,PERSHING ST,,,,,1,Clear,1,Daylight,1,Dry,27500,"Trafficway, On Road",1/15/18 15:02
5331,392778,1,41.355865,-72.911903,2635599,1/15/18,16:47:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,1.64,707,WHITNEY AV,707-N,,waite street,25,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,11300,"Trafficway, On Road",1/15/18 16:47
474,383197,1,41.358315,-72.926231,2626020,1/16/18,12:21:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,6.48,10,CT-10,10-N,,Mather St,75,Feet,S,1,Clear,1,Daylight,1,Dry,27500,"Trafficway, On Road",1/16/18 12:21
7760,378688,1,41.384021,-72.906269,2621514,1/16/18,12:58:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.11,143,OLD DIXWELL AV,OLD DIXWELL AV,,EVERGREEN AVE,245,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/16/18 12:58
6910,379410,1,41.33512,-72.92687,2622235,1/17/18,7:55:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.36,222,GOODRICH ST,GOODRICH ST,NEWHALL ST,,,,,7,Snow,1,Daylight,4,Slush,3100,"Trafficway, On Road",1/17/18 7:55
7912,379411,1,41.354308,-72.941653,2622236,1/17/18,8:10:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.59,429,PINE ROCK AV,PINE ROCK AV NO 1,BLACY ST,,,,,6,Freezing Rain or Freezing Drizzle,1,Daylight,2,Wet,5500,"Trafficway, On Road",1/17/18 8:10
9203,379412,1,41.354851,-72.94495,2622237,1/17/18,8:23:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0,594,WINTERGREEN AV,WINTERGREEN AV,BROOK ST,,,,,7,Snow,1,Daylight,5,Ice / Frost,1800,"Trafficway, On Road",1/17/18 8:23
7913,379413,1,41.354268,-72.941664,2622238,1/17/18,9:09:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.59,429,PINE ROCK AV,PINE ROCK AV NO 1,BLACY ST,,,,,6,Freezing Rain or Freezing Drizzle,1,Daylight,2,Wet,5500,"Trafficway, On Road",1/17/18 9:09
7271,379610,1,41.366788,-72.940958,2622435,1/17/18,16:59:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,309,LANE ST,LANE ST,BENHAM ST,,,,,1,Clear,3,Dusk,1,Dry,5300,"Trafficway, On Road",1/17/18 16:59
0,379611,1,41.363737,-72.923162,2622436,1/17/18,17:20:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,6.88,10,CT-10,10-N,BENHAM STREET,,,,,1,Clear,4,Dark-Lighted,1,Dry,41100,"Trafficway, On Road",1/17/18 17:20
3460,379587,1,41.37888462,-72.90281856,2622412,1/17/18,17:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.04,15,15-N,15-N-125,,RT 15 R/L,10,Feet,S,2,Cloudy,5,Dark-Not Lighted,2,Wet,9300,"Trafficway, On Road",1/17/18 17:42
8048,387667,1,41.345636,-72.914937,2630490,1/18/18,6:35:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,0.13,439,PUTNAM AV,PUTNAM AV,,glendale st,15,Feet,W,1,Clear,1,Daylight,1,Dry,10000,"Trafficway, On Road",1/18/18 6:35
2428,383744,1,41.33833,-72.94101,2626567,1/18/18,7:58:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,4.7,10,CT-10,10-N,ARCH ST,,,,,1,Clear,1,Daylight,1,Dry,13600,"Trafficway, On Road",1/18/18 7:58
2146,379754,1,41.383203,-72.906478,2622579,1/18/18,8:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,8.57,10,CT-10,10-N,,Whitney Ave,1261,Feet,W,1,Clear,1,Daylight,1,Dry,17000,"Trafficway, On Road",1/18/18 8:11
2147,380309,1,41.38382738,-72.90269048,2623134,1/18/18,9:11:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,8.76,10,CT-10,10-N,,WHITNEY AVE,300,Feet,W,1,Clear,1,Daylight,1,Dry,17000,"Trafficway, On Road",1/18/18 9:11
1950,383858,1,41.40403,-72.8985,2626681,1/18/18,10:06:00,O,Property Damage Only,O,No Apparent Injury (O),3,State,10.27,10,CT-10,10-N,DICKERMAN ST,,,,,1,Clear,1,Daylight,1,Dry,18400,"Trafficway, On Road",1/18/18 10:06
